comparison	fixture	source_bytes	pair	compiler	elapsed_us	verdict	llvm_sha256
hashing	growing-16	1452	4	candidate	21568	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
hashing	control-16	1038	0	baseline	20352	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
hashing	control-16	1038	0	candidate	20176	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
hashing	control-16	1038	1	candidate	20258	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
hashing	control-16	1038	1	baseline	20668	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
hashing	control-16	1038	2	baseline	20577	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
hashing	control-16	1038	2	candidate	19716	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
hashing	control-16	1038	3	candidate	20440	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
hashing	control-16	1038	3	baseline	20830	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
hashing	control-16	1038	4	baseline	20667	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
hashing	control-16	1038	4	candidate	20226	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
hashing	fixed-64	2209	0	baseline	21978	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-64	2209	0	candidate	21375	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-64	2209	1	candidate	21725	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-64	2209	1	baseline	21899	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-64	2209	2	baseline	22024	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-64	2209	2	candidate	21622	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-64	2209	3	candidate	21743	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-64	2209	3	baseline	21297	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-64	2209	4	baseline	22135	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-64	2209	4	candidate	21587	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	growing-64	5532	0	baseline	87290	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	growing-64	5532	0	candidate	70427	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	growing-64	5532	1	candidate	70632	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	growing-64	5532	1	baseline	87409	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	growing-64	5532	2	baseline	87130	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	growing-64	5532	2	candidate	70000	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	growing-64	5532	3	candidate	70483	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	growing-64	5532	3	baseline	87514	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	growing-64	5532	4	baseline	86184	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	growing-64	5532	4	candidate	70556	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	control-64	3486	0	baseline	39918	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	control-64	3486	0	candidate	34354	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	control-64	3486	1	candidate	33791	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	control-64	3486	1	baseline	40495	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	control-64	3486	2	baseline	40551	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	control-64	3486	2	candidate	33157	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	control-64	3486	3	candidate	32697	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	control-64	3486	3	baseline	39556	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	control-64	3486	4	baseline	39114	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	control-64	3486	4	candidate	33860	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	fixed-256	7779	0	baseline	30344	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-256	7779	0	candidate	31306	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-256	7779	1	candidate	31520	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-256	7779	1	baseline	31368	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-256	7779	2	baseline	31238	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-256	7779	2	candidate	30757	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-256	7779	3	candidate	30844	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-256	7779	3	baseline	31610	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-256	7779	4	baseline	30931	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-256	7779	4	candidate	31100	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	growing-256	23100	0	baseline	3233643	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	growing-256	23100	0	candidate	2396236	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	growing-256	23100	1	candidate	2412410	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	growing-256	23100	1	baseline	3284987	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	growing-256	23100	2	baseline	3240237	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	growing-256	23100	2	candidate	2377368	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	growing-256	23100	3	candidate	2392382	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	growing-256	23100	3	baseline	3241865	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	growing-256	23100	4	baseline	3234430	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	growing-256	23100	4	candidate	2392347	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	control-256	13902	0	baseline	401584	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	control-256	13902	0	candidate	273533	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	control-256	13902	1	candidate	278790	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	control-256	13902	1	baseline	398535	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	control-256	13902	2	baseline	396896	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	control-256	13902	2	candidate	275185	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	control-256	13902	3	candidate	276843	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	control-256	13902	3	baseline	395820	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	control-256	13902	4	baseline	397353	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	control-256	13902	4	candidate	273647	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	real-fixed_run_library	9797	0	baseline	132646	accept	71b7d154126fc9abdc05cc45dd3ca31a21d9d650116d3f52573479773651e93a
hashing	real-fixed_run_library	9797	0	candidate	133932	accept	71b7d154126fc9abdc05cc45dd3ca31a21d9d650116d3f52573479773651e93a
hashing	real-fixed_run_library	9797	1	candidate	136568	accept	71b7d154126fc9abdc05cc45dd3ca31a21d9d650116d3f52573479773651e93a
hashing	real-fixed_run_library	9797	1	baseline	133880	accept	71b7d154126fc9abdc05cc45dd3ca31a21d9d650116d3f52573479773651e93a
hashing	real-fixed_run_library	9797	2	baseline	134635	accept	71b7d154126fc9abdc05cc45dd3ca31a21d9d650116d3f52573479773651e93a
hashing	real-fixed_run_library	9797	2	candidate	132361	accept	71b7d154126fc9abdc05cc45dd3ca31a21d9d650116d3f52573479773651e93a
hashing	real-fixed_run_library	9797	3	candidate	132980	accept	71b7d154126fc9abdc05cc45dd3ca31a21d9d650116d3f52573479773651e93a
hashing	real-fixed_run_library	9797	3	baseline	133980	accept	71b7d154126fc9abdc05cc45dd3ca31a21d9d650116d3f52573479773651e93a
hashing	real-fixed_run_library	9797	4	baseline	136707	accept	71b7d154126fc9abdc05cc45dd3ca31a21d9d650116d3f52573479773651e93a
hashing	real-fixed_run_library	9797	4	candidate	135653	accept	71b7d154126fc9abdc05cc45dd3ca31a21d9d650116d3f52573479773651e93a
hashing	real-wfgrep	47412	0	baseline	852808	accept	4971f3857d9fa7c0072b4aa79f35d75ebd065f884db4989c2c5b03d28c2e6499
hashing	real-wfgrep	47412	0	candidate	864631	accept	4971f3857d9fa7c0072b4aa79f35d75ebd065f884db4989c2c5b03d28c2e6499
hashing	real-wfgrep	47412	1	candidate	863629	accept	4971f3857d9fa7c0072b4aa79f35d75ebd065f884db4989c2c5b03d28c2e6499
hashing	real-wfgrep	47412	1	baseline	866848	accept	4971f3857d9fa7c0072b4aa79f35d75ebd065f884db4989c2c5b03d28c2e6499
hashing	real-wfgrep	47412	2	baseline	861932	accept	4971f3857d9fa7c0072b4aa79f35d75ebd065f884db4989c2c5b03d28c2e6499
hashing	real-wfgrep	47412	2	candidate	864099	accept	4971f3857d9fa7c0072b4aa79f35d75ebd065f884db4989c2c5b03d28c2e6499
hashing	real-wfgrep	47412	3	candidate	863212	accept	4971f3857d9fa7c0072b4aa79f35d75ebd065f884db4989c2c5b03d28c2e6499
hashing	real-wfgrep	47412	3	baseline	862709	accept	4971f3857d9fa7c0072b4aa79f35d75ebd065f884db4989c2c5b03d28c2e6499
hashing	real-wfgrep	47412	4	baseline	853598	accept	4971f3857d9fa7c0072b4aa79f35d75ebd065f884db4989c2c5b03d28c2e6499
hashing	real-wfgrep	47412	4	candidate	856160	accept	4971f3857d9fa7c0072b4aa79f35d75ebd065f884db4989c2c5b03d28c2e6499
fallback	fixed-16	824	0	baseline	23338	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
fallback	fixed-16	824	0	candidate	19641	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
fallback	fixed-16	824	1	candidate	18880	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
fallback	fixed-16	824	1	baseline	18728	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
fallback	fixed-16	824	2	baseline	18991	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
fallback	fixed-16	824	2	candidate	19173	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
fallback	fixed-16	824	3	candidate	19068	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
fallback	fixed-16	824	3	baseline	19666	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
fallback	fixed-16	824	4	baseline	19113	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
fallback	fixed-16	824	4	candidate	19336	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
fallback	growing-16	1452	0	baseline	21778	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
fallback	growing-16	1452	0	candidate	21503	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
fallback	growing-16	1452	1	candidate	21810	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
fallback	growing-16	1452	1	baseline	21757	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
fallback	growing-16	1452	2	baseline	21907	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
fallback	growing-16	1452	2	candidate	21525	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
fallback	growing-16	1452	3	candidate	21519	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
fallback	growing-16	1452	3	baseline	22088	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
fallback	growing-16	1452	4	baseline	22080	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
fallback	growing-16	1452	4	candidate	22065	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
fallback	control-16	1038	0	baseline	20513	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
fallback	control-16	1038	0	candidate	20204	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
fallback	control-16	1038	1	candidate	19673	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
fallback	control-16	1038	1	baseline	19965	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
fallback	control-16	1038	2	baseline	20209	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
fallback	control-16	1038	2	candidate	20448	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
fallback	control-16	1038	3	candidate	20191	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
fallback	control-16	1038	3	baseline	20591	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
fallback	control-16	1038	4	baseline	20318	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
fallback	control-16	1038	4	candidate	20673	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
fallback	real-fixed_run_library	9797	0	baseline	137934	accept	71b7d154126fc9abdc05cc45dd3ca31a21d9d650116d3f52573479773651e93a
fallback	real-fixed_run_library	9797	0	candidate	134347	accept	71b7d154126fc9abdc05cc45dd3ca31a21d9d650116d3f52573479773651e93a
fallback	real-fixed_run_library	9797	1	candidate	132298	accept	71b7d154126fc9abdc05cc45dd3ca31a21d9d650116d3f52573479773651e93a
fallback	real-fixed_run_library	9797	1	baseline	135544	accept	71b7d154126fc9abdc05cc45dd3ca31a21d9d650116d3f52573479773651e93a
fallback	real-fixed_run_library	9797	2	baseline	136680	accept	71b7d154126fc9abdc05cc45dd3ca31a21d9d650116d3f52573479773651e93a
fallback	real-fixed_run_library	9797	2	candidate	132510	accept	71b7d154126fc9abdc05cc45dd3ca31a21d9d650116d3f52573479773651e93a
fallback	real-fixed_run_library	9797	3	candidate	138765	accept	71b7d154126fc9abdc05cc45dd3ca31a21d9d650116d3f52573479773651e93a
fallback	real-fixed_run_library	9797	3	baseline	136233	accept	71b7d154126fc9abdc05cc45dd3ca31a21d9d650116d3f52573479773651e93a
fallback	real-fixed_run_library	9797	4	baseline	136025	accept	71b7d154126fc9abdc05cc45dd3ca31a21d9d650116d3f52573479773651e93a
fallback	real-fixed_run_library	9797	4	candidate	131531	accept	71b7d154126fc9abdc05cc45dd3ca31a21d9d650116d3f52573479773651e93a
fallback	real-wfgrep	47412	0	baseline	886507	accept	4971f3857d9fa7c0072b4aa79f35d75ebd065f884db4989c2c5b03d28c2e6499
fallback	real-wfgrep	47412	0	candidate	877453	accept	4971f3857d9fa7c0072b4aa79f35d75ebd065f884db4989c2c5b03d28c2e6499
fallback	real-wfgrep	47412	1	candidate	875182	accept	4971f3857d9fa7c0072b4aa79f35d75ebd065f884db4989c2c5b03d28c2e6499
fallback	real-wfgrep	47412	1	baseline	879224	accept	4971f3857d9fa7c0072b4aa79f35d75ebd065f884db4989c2c5b03d28c2e6499
fallback	real-wfgrep	47412	2	baseline	873515	accept	4971f3857d9fa7c0072b4aa79f35d75ebd065f884db4989c2c5b03d28c2e6499
fallback	real-wfgrep	47412	2	candidate	887186	accept	4971f3857d9fa7c0072b4aa79f35d75ebd065f884db4989c2c5b03d28c2e6499
fallback	real-wfgrep	47412	3	candidate	867740	accept	4971f3857d9fa7c0072b4aa79f35d75ebd065f884db4989c2c5b03d28c2e6499
fallback	real-wfgrep	47412	3	baseline	866412	accept	4971f3857d9fa7c0072b4aa79f35d75ebd065f884db4989c2c5b03d28c2e6499
fallback	real-wfgrep	47412	4	baseline	868820	accept	4971f3857d9fa7c0072b4aa79f35d75ebd065f884db4989c2c5b03d28c2e6499
fallback	real-wfgrep	47412	4	candidate	877976	accept	4971f3857d9fa7c0072b4aa79f35d75ebd065f884db4989c2c5b03d28c2e6499
combined	fixed-16	824	0	baseline	18267	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
combined	fixed-16	824	0	candidate	18474	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
combined	fixed-16	824	1	candidate	18537	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
combined	fixed-16	824	1	baseline	18426	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
combined	fixed-16	824	2	baseline	17951	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
combined	fixed-16	824	2	candidate	18453	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
combined	fixed-16	824	3	candidate	18498	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
combined	fixed-16	824	3	baseline	18144	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
combined	fixed-16	824	4	baseline	18251	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
combined	fixed-16	824	4	candidate	18486	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
combined	growing-16	1452	0	baseline	24052	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
combined	growing-16	1452	0	candidate	21047	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
combined	growing-16	1452	1	candidate	20728	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
combined	growing-16	1452	1	baseline	23966	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
combined	growing-16	1452	2	baseline	24496	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
combined	growing-16	1452	2	candidate	20590	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
combined	growing-16	1452	3	candidate	20225	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
combined	growing-16	1452	3	baseline	24348	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
